Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BOL,2008,exante,6,0.732,1.45,,,,,,,
BOL,2008,exante,7,0.408,20.06,,,,,,,
BOL,2008,exante,8,0.696,5.79,,,,,,,
BOL,2008,exante,10,0.546,6.24,,,,,,,
BOL,2008,exante,11,0.879,3.92,,,,,,,
BOL,2008,exante,14,1.139,28.01,,,,,,,
BOL,2008,exante,15,1.642,9.51,,,,,,,
BOL,2008,exante,16,0.811,16.12,,,,,,,
BOL,2008,exante,18,2.715,3.09,,,,,,,
BOL,2008,exante,19,1.876,5.81,,,,,,,
