Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GBR,2009,exante,3,1.147,1.76,,,,,,,
GBR,2009,exante,5,0.95,8.63,,,,,,,
GBR,2009,exante,7,0.818,27.17,,,,,,,
GBR,2009,exante,8,0.933,2.77,,,,,,,
GBR,2009,exante,11,1.0,1.05,,,,,,,
GBR,2009,exante,13,1.128,4.29,,,,,,,
GBR,2009,exante,14,1.272,13.69,,,,,,,
GBR,2009,exante,16,1.129,11.57,,,,,,,
GBR,2009,exante,18,0.737,0.42,,,,,,,
GBR,2009,exante,20,1.062,12.18,,,,,,,
GBR,2009,exante,22,0.925,16.04,,,,,,,
GBR,2009,exante,23,1.245,0.41,,,,,,,
