Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IDN,2000,exante,6,0.746,24.22,,,,,,,
IDN,2000,exante,7,0.884,29.62,,,,,,,
IDN,2000,exante,8,0.996,2.65,,,,,,,
IDN,2000,exante,10,0.945,4.69,,,,,,,
IDN,2000,exante,12,0.893,8.76,,,,,,,
IDN,2000,exante,13,1.213,1.02,,,,,,,
IDN,2000,exante,15,1.061,18.52,,,,,,,
IDN,2000,exante,16,1.672,1.62,,,,,,,
IDN,2000,exante,19,1.393,2.87,,,,,,,
IDN,2000,exante,20,1.805,3.93,,,,,,,
IDN,2000,exante,21,2.939,2.11,,,,,,,
