Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
MEX,2017,exante,5,1.879,2.4,,,,,,,
MEX,2017,exante,6,1.308,11.08,,,,,,,
MEX,2017,exante,9,0.594,4.63,,,,,,,
MEX,2017,exante,10,0.942,9.73,,,,,,,
MEX,2017,exante,11,1.282,1.18,,,,,,,
MEX,2017,exante,17,0.591,6.52,,,,,,,
MEX,2017,exante,18,0.373,2.31,,,,,,,
MEX,2017,exante,20,0.898,2.05,,,,,,,
MEX,2017,exante,21,0.805,2.14,,,,,,,
MEX,2017,exante,22,1.411,1.62,,,,,,,
MEX,2017,exante,25,0.457,13.23,,,,,,,
MEX,2017,exante,26,0.292,3.81,,,,,,,
MEX,2017,exante,27,0.85,0.86,,,,,,,
MEX,2017,exante,29,1.099,12.26,,,,,,,
MEX,2017,exante,32,0.664,11.35,,,,,,,
MEX,2017,exante,33,0.372,1.35,,,,,,,
MEX,2017,exante,34,1.159,1.38,,,,,,,
MEX,2017,exante,36,2.7,6.39,,,,,,,
MEX,2017,exante,38,1.345,4.19,,,,,,,
MEX,2017,exante,39,2.05,1.52,,,,,,,
