Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PAN,2003,exante,6,0.367,14.91,,,,,,,
PAN,2003,exante,7,0.427,3.32,,,,,,,
PAN,2003,exante,9,0.641,3.36,,,,,,,
PAN,2003,exante,10,0.91,1.0,,,,,,,
PAN,2003,exante,13,0.59,10.44,,,,,,,
PAN,2003,exante,14,0.808,4.2,,,,,,,
PAN,2003,exante,15,0.924,9.33,,,,,,,
PAN,2003,exante,19,0.647,5.16,,,,,,,
PAN,2003,exante,20,0.949,4.69,,,,,,,
PAN,2003,exante,23,0.865,7.77,,,,,,,
PAN,2003,exante,24,1.076,1.83,,,,,,,
PAN,2003,exante,25,1.175,17.64,,,,,,,
PAN,2003,exante,26,1.79,2.11,,,,,,,
PAN,2003,exante,29,1.231,2.37,,,,,,,
PAN,2003,exante,30,1.932,7.18,,,,,,,
PAN,2003,exante,32,2.358,1.96,,,,,,,
PAN,2003,exante,33,3.477,2.73,,,,,,,
