Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UK,2009,exante,3,1.147,1.75,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,5,0.95,8.66,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,7,0.818,26.29,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,8,0.933,2.85,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,11,1,2.82,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,13,1.128,4.06,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,14,1.272,13.32,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,16,1.129,11.53,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,18,0.737,1.26,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,exante,20,1.062,11.7,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
