Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
USA,2018,exante,6,0.884,24.48,,,,,,,
USA,2018,exante,7,1.021,9.76,,,,,,,
USA,2018,exante,8,0.787,14.38,,,,,,,
USA,2018,exante,9,1.171,14.56,,,,,,,
USA,2018,exante,12,0.576,5.45,,,,,,,
USA,2018,exante,13,0.696,5.5,,,,,,,
USA,2018,exante,15,0.718,2.84,,,,,,,
USA,2018,exante,17,0.728,0.68,,,,,,,
USA,2018,exante,18,1.014,0.53,,,,,,,
USA,2018,exante,20,1.407,20.45,,,,,,,
USA,2018,exante,21,0.874,1.37,,,,,,,
