Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IND,2005,exante,8,1.223,2.18,,,,,,,
IND,2005,exante,9,1.48,1.19,,,,,,,
IND,2005,exante,11,0.888,0.81,,,,,,,
IND,2005,exante,12,1.138,0.84,,,,,,,
IND,2005,exante,13,1.927,1.79,,,,,,,
IND,2005,exante,14,1.707,1.22,,,,,,,
IND,2005,exante,19,1.269,1.15,,,,,,,
IND,2005,exante,22,1.073,1.02,,,,,,,
IND,2005,exante,23,1.116,0.75,,,,,,,
IND,2005,exante,24,0.837,1.14,,,,,,,
IND,2005,exante,26,0.949,1.05,,,,,,,
IND,2005,exante,27,0.866,0.6,,,,,,,
IND,2005,exante,29,0.906,2.71,,,,,,,
IND,2005,exante,30,0.754,2.11,,,,,,,
IND,2005,exante,32,1.459,0.98,,,,,,,
IND,2005,exante,34,1.205,1.05,,,,,,,
IND,2005,exante,35,1.332,1.35,,,,,,,
IND,2005,exante,40,0.907,4.55,,,,,,,
IND,2005,exante,41,0.57,1.32,,,,,,,
IND,2005,exante,43,1.261,2.04,,,,,,,
IND,2005,exante,44,0.895,1.43,,,,,,,
IND,2005,exante,49,0.799,5.69,,,,,,,
IND,2005,exante,50,0.663,3.9,,,,,,,
IND,2005,exante,53,0.652,3.55,,,,,,,
IND,2005,exante,54,0.594,0.75,,,,,,,
IND,2005,exante,55,0.483,3.0,,,,,,,
IND,2005,exante,57,0.837,3.15,,,,,,,
IND,2005,exante,58,1.114,1.33,,,,,,,
IND,2005,exante,63,0.565,5.11,,,,,,,
IND,2005,exante,64,0.536,2.79,,,,,,,
IND,2005,exante,66,0.447,3.29,,,,,,,
IND,2005,exante,67,0.54,2.92,,,,,,,
IND,2005,exante,69,0.44,3.38,,,,,,,
IND,2005,exante,70,0.389,2.12,,,,,,,
IND,2005,exante,73,0.655,2.41,,,,,,,
IND,2005,exante,75,0.799,1.89,,,,,,,
IND,2005,exante,76,0.654,1.09,,,,,,,
IND,2005,exante,77,0.515,1.01,,,,,,,
IND,2005,exante,81,1.086,1.04,,,,,,,
IND,2005,exante,82,0.83,1.95,,,,,,,
IND,2005,exante,83,1.241,1.78,,,,,,,
IND,2005,exante,85,1.662,1.22,,,,,,,
IND,2005,exante,86,1.092,1.19,,,,,,,
IND,2005,exante,92,1.431,1.13,,,,,,,
IND,2005,exante,93,1.777,1.03,,,,,,,
IND,2005,exante,94,2.189,0.83,,,,,,,
IND,2005,exante,96,0.982,1.64,,,,,,,
IND,2005,exante,97,1.233,1.33,,,,,,,
IND,2005,exante,101,2.136,0.96,,,,,,,
IND,2005,exante,102,2.602,0.95,,,,,,,
IND,2005,exante,105,2.177,1.11,,,,,,,
IND,2005,exante,106,1.669,1.37,,,,,,,
IND,2005,exante,107,1.404,1.1,,,,,,,
IND,2005,exante,108,2.605,1.59,,,,,,,
IND,2005,exante,109,3.527,1.14,,,,,,,
