Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
BOL,2008,expost,5,0.835,1.04,,,,,,,
BOL,2008,expost,8,0.364,3.3,,,,,,,
BOL,2008,expost,9,0.389,2.04,,,,,,,
BOL,2008,expost,10,0.478,1.72,,,,,,,
BOL,2008,expost,12,0.639,3.04,,,,,,,
BOL,2008,expost,14,0.82,1.24,,,,,,,
BOL,2008,expost,15,0.713,2.32,,,,,,,
BOL,2008,expost,19,1.156,8.91,,,,,,,
BOL,2008,expost,21,1.324,18.81,,,,,,,
BOL,2008,expost,22,1.707,5.55,,,,,,,
BOL,2008,expost,24,0.907,8.6,,,,,,,
BOL,2008,expost,25,0.903,2.47,,,,,,,
BOL,2008,expost,28,1.913,1.66,,,,,,,
BOL,2008,expost,29,2.753,5.57,,,,,,,
BOL,2008,expost,30,1.423,2.96,,,,,,,
BOL,2008,expost,34,0.237,7.89,,,,,,,
BOL,2008,expost,35,0.351,9.19,,,,,,,
BOL,2008,expost,36,0.452,6.16,,,,,,,
BOL,2008,expost,37,0.781,7.53,,,,,,,
