Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
GBR,2015,expost,4,0.956,8.74,,,,,,,
GBR,2015,expost,5,1.037,1.36,,,,,,,
GBR,2015,expost,7,0.924,12.19,,,,,,,
GBR,2015,expost,9,0.834,15.89,,,,,,,
GBR,2015,expost,10,0.951,1.48,,,,,,,
GBR,2015,expost,12,0.893,1.04,,,,,,,
GBR,2015,expost,16,1.17,17.46,,,,,,,
GBR,2015,expost,17,1.056,19.27,,,,,,,
GBR,2015,expost,18,1.158,1.77,,,,,,,
GBR,2015,expost,20,0.986,20.15,,,,,,,
GBR,2015,expost,21,1.135,0.65,,,,,,,
