Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IDN,2000,expost,6,0.781,28.55,,,,,,,
IDN,2000,expost,9,0.88,24.82,,,,,,,
IDN,2000,expost,10,0.988,7.91,,,,,,,
IDN,2000,expost,11,1.236,3.1,,,,,,,
IDN,2000,expost,12,0.887,1.1,,,,,,,
IDN,2000,expost,14,0.944,2.55,,,,,,,
IDN,2000,expost,15,1.103,2.68,,,,,,,
IDN,2000,expost,18,0.996,15.57,,,,,,,
IDN,2000,expost,19,1.422,2.88,,,,,,,
IDN,2000,expost,20,1.667,1.63,,,,,,,
IDN,2000,expost,23,1.608,3.19,,,,,,,
IDN,2000,expost,24,1.501,3.02,,,,,,,
IDN,2000,expost,26,1.874,1.54,,,,,,,
IDN,2000,expost,27,2.113,1.44,,,,,,,
