Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
MEX,2017,expost,5,0.912,9.29,,,,,,,
MEX,2017,expost,7,1.445,8.15,,,,,,,
MEX,2017,expost,10,1.237,1.05,,,,,,,
MEX,2017,expost,11,0.931,5.05,,,,,,,
MEX,2017,expost,12,1.286,4.91,,,,,,,
MEX,2017,expost,17,0.799,2.7,,,,,,,
MEX,2017,expost,19,0.6,6.87,,,,,,,
MEX,2017,expost,20,0.462,0.8,,,,,,,
MEX,2017,expost,22,0.414,1.01,,,,,,,
MEX,2017,expost,23,0.521,0.72,,,,,,,
MEX,2017,expost,24,1.069,0.77,,,,,,,
MEX,2017,expost,28,0.975,3.29,,,,,,,
MEX,2017,expost,29,0.739,10.37,,,,,,,
MEX,2017,expost,30,1.126,1.39,,,,,,,
MEX,2017,expost,32,1.101,2.49,,,,,,,
MEX,2017,expost,34,0.844,1.0,,,,,,,
MEX,2017,expost,35,0.993,0.9,,,,,,,
MEX,2017,expost,39,0.888,5.45,,,,,,,
MEX,2017,expost,40,0.601,3.22,,,,,,,
MEX,2017,expost,42,0.582,7.04,,,,,,,
MEX,2017,expost,44,0.409,3.01,,,,,,,
MEX,2017,expost,45,0.53,1.27,,,,,,,
MEX,2017,expost,48,0.439,1.41,,,,,,,
MEX,2017,expost,50,0.463,1.63,,,,,,,
MEX,2017,expost,51,0.338,2.11,,,,,,,
MEX,2017,expost,52,0.545,1.17,,,,,,,
MEX,2017,expost,57,2.505,1.59,,,,,,,
MEX,2017,expost,58,3.149,1.37,,,,,,,
MEX,2017,expost,59,3.102,1.21,,,,,,,
MEX,2017,expost,60,1.836,2.67,,,,,,,
MEX,2017,expost,62,1.024,1.12,,,,,,,
MEX,2017,expost,63,1.722,4.95,,,,,,,
