Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
PAN,2003,expost,5,0.332,14.91,,,,,,,
PAN,2003,expost,6,0.482,2.62,,,,,,,
PAN,2003,expost,7,0.672,4.6,,,,,,,
PAN,2003,expost,11,0.431,3.34,,,,,,,
PAN,2003,expost,12,0.515,1.93,,,,,,,
PAN,2003,expost,14,0.541,7.9,,,,,,,
PAN,2003,expost,15,0.676,3.23,,,,,,,
PAN,2003,expost,18,0.886,1.0,,,,,,,
PAN,2003,expost,19,0.894,4.02,,,,,,,
PAN,2003,expost,20,0.975,4.96,,,,,,,
PAN,2003,expost,24,0.868,11.96,,,,,,,
PAN,2003,expost,25,1.219,2.15,,,,,,,
PAN,2003,expost,27,1.113,16.8,,,,,,,
PAN,2003,expost,28,1.436,6.35,,,,,,,
PAN,2003,expost,30,1.752,9.54,,,,,,,
PAN,2003,expost,32,2.538,1.96,,,,,,,
PAN,2003,expost,33,3.663,2.73,,,,,,,
