Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
TUR,2022,expost,5,0.938,5.95,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,7,0.896,8.13,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,8,0.804,21.44,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,10,0.721,5.46,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,11,0.604,3,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,13,0.936,33.06,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,15,1.442,9.11,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,17,0.933,5.4,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,18,1.461,5.18,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
TUR,2022,expost,19,2.937,3.27,"Rural,Urban","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","No degree / No education,Primary education,Lower secondary education,(Upper) secondary education,Post-secondary non-tertiary education,Tertiary education (not a university diploma),Bachelor's degree or more,Master's degree or PhD","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Agriculture, Forestry, and Fishing,Mining,Construction,Manufacturing,Transportation and public utilities,Wholesale trade,Retail trade,Finance, insurance and real estate,Services,Public sector (eg education, administration, health care),Non-classifiable establishments,Never worked","Atheistic/agnostic/none,Buddhist,Jewish,Orthodox Christian,Catholic,Other Christian, including protestant,Muslim","Male,Female"
