Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
UK,2009,expost,4,0.975,7.38,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,5,0.987,2.08,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,7,0.812,22.86,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,8,0.908,7.23,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,11,0.985,4.18,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,14,1.244,14.55,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,15,1.204,3.02,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,16,1.095,17.26,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,18,0.821,1.25,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
UK,2009,expost,20,1.004,8.81,,"Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Primary [0-1],Secondary lower [2],Secondary upper [3-4],Tertiary [5-8]","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Large employers & higher management,Higher professional,Lower management & professional,Intermediate,Small employers & own account,Lower supervisory & technical,Semi-Routine,Routine","Black,White,Asian,Mixed (UK only),American Indian (US only),Other","Male,Female"
