Country_Code,Year,Type,Box_Number,Relative_Type_Mean,Pop_Share,Birth_Area,Father_Edu,Mother_Edu,Father_Occ,Mother_Occ,Ethnicity,Sex
IND,2012,expost,7,1.418,1.28,,,,,,,
IND,2012,expost,9,1.341,1.0,,,,,,,
IND,2012,expost,10,1.151,1.74,,,,,,,
IND,2012,expost,12,1.38,0.87,,,,,,,
IND,2012,expost,13,1.359,0.92,,,,,,,
IND,2012,expost,16,1.063,0.22,,,,,,,
IND,2012,expost,17,1.213,0.75,,,,,,,
IND,2012,expost,20,0.923,2.13,,,,,,,
IND,2012,expost,22,1.227,1.55,,,,,,,
IND,2012,expost,23,0.911,0.45,,,,,,,
IND,2012,expost,24,1.135,1.16,,,,,,,
IND,2012,expost,29,0.927,2.09,,,,,,,
IND,2012,expost,30,0.76,2.62,,,,,,,
IND,2012,expost,34,0.664,1.42,,,,,,,
IND,2012,expost,35,0.894,1.21,,,,,,,
IND,2012,expost,37,0.698,3.13,,,,,,,
IND,2012,expost,38,0.755,2.47,,,,,,,
IND,2012,expost,39,0.57,1.14,,,,,,,
IND,2012,expost,42,0.867,2.84,,,,,,,
IND,2012,expost,43,0.943,2.17,,,,,,,
IND,2012,expost,44,0.809,2.29,,,,,,,
IND,2012,expost,47,1.092,1.94,,,,,,,
IND,2012,expost,49,0.982,1.45,,,,,,,
IND,2012,expost,50,0.79,2.61,,,,,,,
IND,2012,expost,51,1.411,1.1,,,,,,,
IND,2012,expost,55,0.547,2.64,,,,,,,
IND,2012,expost,57,0.679,1.84,,,,,,,
IND,2012,expost,58,0.496,2.02,,,,,,,
IND,2012,expost,59,0.699,2.71,,,,,,,
IND,2012,expost,66,0.519,4.71,,,,,,,
IND,2012,expost,67,0.453,1.59,,,,,,,
IND,2012,expost,69,0.478,2.03,,,,,,,
IND,2012,expost,70,0.499,1.83,,,,,,,
IND,2012,expost,71,0.424,2.16,,,,,,,
IND,2012,expost,73,0.423,1.07,,,,,,,
IND,2012,expost,74,0.371,1.37,,,,,,,
IND,2012,expost,75,0.68,2.23,,,,,,,
IND,2012,expost,77,0.698,1.94,,,,,,,
IND,2012,expost,78,0.569,2.52,,,,,,,
IND,2012,expost,84,2.271,0.71,,,,,,,
IND,2012,expost,86,1.825,1.65,,,,,,,
IND,2012,expost,88,1.591,0.8,,,,,,,
IND,2012,expost,89,1.545,0.85,,,,,,,
IND,2012,expost,92,1.176,1.57,,,,,,,
IND,2012,expost,94,1.37,1.29,,,,,,,
IND,2012,expost,95,1.018,1.45,,,,,,,
IND,2012,expost,97,1.589,1.48,,,,,,,
IND,2012,expost,98,1.87,1.35,,,,,,,
IND,2012,expost,100,2.449,0.9,,,,,,,
IND,2012,expost,101,2.065,0.93,,,,,,,
IND,2012,expost,106,0.684,1.3,,,,,,,
IND,2012,expost,107,0.776,1.43,,,,,,,
IND,2012,expost,108,0.85,2.5,,,,,,,
IND,2012,expost,109,1.217,1.57,,,,,,,
IND,2012,expost,112,1.095,1.06,,,,,,,
IND,2012,expost,113,1.015,1.0,,,,,,,
IND,2012,expost,115,1.295,1.51,,,,,,,
IND,2012,expost,116,1.517,1.21,,,,,,,
IND,2012,expost,119,2.567,1.75,,,,,,,
IND,2012,expost,120,1.705,1.03,,,,,,,
IND,2012,expost,121,3.689,1.46,,,,,,,
