"var","cat","value","value2"
"Sex","0",45530.4059414276,-3.84414151976033
"Sex","1",49846.2556471093,5.2705198793799
"Ethnicity","1",50843.5435815605,7.37669652125966
"Ethnicity","2",37433.4005986333,-20.9442416343312
"Ethnicity","3",43127.4622086055,-8.91892863688953
"Ethnicity","4",53648.7565643509,13.301037782946
"Ethnicity","5",48605.0223912247,2.64915407281669
"Ethnicity","7",51352.93014701,8.45247218120232
"Father_Occ","1",43819.4211060564,-7.45757769038084
"Father_Occ","2",45237.9666364093,-4.46174533518808
"Father_Occ","3",52694.3782251432,11.2854820982566
"Mother_Occ","1",47327.6402692607,-0.0485546781831943
"Mother_Occ","2",43701.0094660343,-7.70765173793093
"Mother_Occ","3",49289.7609897104,4.09525643914847
"Mother_Edu","1",49628.8638729486,4.81140926442384
"Mother_Edu","2",45854.8386263644,-3.15897074884116
"Mother_Edu","3",42452.5655267013,-10.3442458176202
"Mother_Edu","4",46198.9153724359,-2.43231360143608
"Mother_Edu","5",47249.7682764503,-0.213012871898457
"Mother_Edu","6",48460.2995791129,2.34351334872142
"Mother_Edu","7",49873.8880713274,5.32887691392951
"Mother_Edu","8",49670.6587209857,4.89967598223498
"Father_Edu","1",48643.4285895248,2.73026428679668
"Father_Edu","2",43055.1661033325,-9.07161108993509
"Father_Edu","3",41284.2504990405,-12.8116153070249
"Father_Edu","4",44974.5267147899,-5.01810522914255
"Father_Edu","5",45211.7695732075,-4.51707102468595
"Father_Edu","6",48482.5512124915,2.39050666814967
"Father_Edu","7",54088.1308336158,14.2289541759965
"Father_Edu","8",53587.7945919728,13.1722919334976
"Birth_Area","1",50674.8857965886,7.02050742590643
"Birth_Area","2",45670.454762866,-3.54837181650139
"Birth_Area","3",45746.0735295201,-3.3886722207148
"Birth_Area","4",49086.9211856286,3.66687819186153
"Birth_Area","5",51431.155534962,8.61767671162441
"Birth_Area","6",49380.5660152608,4.28702795986253
