,Name,c,y,Year,Measure,Approach,Region,Total Inequality,IOp Ex-Ante Tree,IOp Ex-Ante RF,IOp Ex-Post,Latest
1,Argentina,ARG,2014,2014 (Income),Gini,Absolute,LATAM,0.3884,0.167,0.1786,0.1773,1
2,Argentina,ARG,2014,2014 (Income),Gini,Relative,LATAM,0.3884,42.9969104016478,45.9835221421215,45.648815653965,1
3,Argentina,ARG,2014,2014 (Income),MLD,Absolute,LATAM,0.2759,0.0438,0.0499,0.0506,1
4,Argentina,ARG,2014,2014 (Income),MLD,Relative,LATAM,0.2759,15.8753171438927,18.0862631388184,18.3399782529902,1
5,Armenia,ARM,2016,2016 (Income),Gini,Absolute,Asia + Oceania,0.4119,0.1158,0.1794,0.1842,1
6,Armenia,ARM,2016,2016 (Income),Gini,Relative,Asia + Oceania,0.4119,28.1136198106337,43.5542607428988,44.7195921340131,1
7,Armenia,ARM,2016,2016 (Income),MLD,Absolute,Asia + Oceania,0.3088,0.0321,0.0559,0.0911,1
8,Armenia,ARM,2016,2016 (Income),MLD,Relative,Asia + Oceania,0.3088,10.3950777202073,18.1023316062176,29.5012953367876,1
9,Australia,AUS,2005,2005 (Income),Gini,Absolute,Asia + Oceania,0.3204,0.0818,0.0932,0.0645,0
10,Australia,AUS,2005,2005 (Income),Gini,Relative,Asia + Oceania,0.3204,25.5305867665418,29.0886392009987,20.1310861423221,0
11,Australia,AUS,2005,2005 (Income),MLD,Absolute,Asia + Oceania,0.1794,0.0107,0.0135,0.0076,0
12,Australia,AUS,2005,2005 (Income),MLD,Relative,Asia + Oceania,0.1794,5.96432552954292,7.52508361204014,4.23634336677815,0
13,Australia,AUS,2007,2007 (Income),Gini,Absolute,Asia + Oceania,0.3283,0.0807,0.1001,0.0753,0
14,Australia,AUS,2007,2007 (Income),Gini,Relative,Asia + Oceania,0.3283,24.5811757538836,30.4904051172708,22.9363387145903,0
15,Australia,AUS,2007,2007 (Income),MLD,Absolute,Asia + Oceania,0.1885,0.0107,0.0154,0.0098,0
16,Australia,AUS,2007,2007 (Income),MLD,Relative,Asia + Oceania,0.1885,5.6763925729443,8.16976127320955,5.19893899204244,0
17,Australia,AUS,2009,2009 (Income),Gini,Absolute,Asia + Oceania,0.315,0.0756,0.0878,0.0776,0
18,Australia,AUS,2009,2009 (Income),Gini,Relative,Asia + Oceania,0.315,24,27.8730158730159,24.6349206349206,0
19,Australia,AUS,2009,2009 (Income),MLD,Absolute,Asia + Oceania,0.179,0.0092,0.0119,0.0141,0
20,Australia,AUS,2009,2009 (Income),MLD,Relative,Asia + Oceania,0.179,5.13966480446927,6.64804469273743,7.87709497206704,0
21,Australia,AUS,2011,2011 (Income),Gini,Absolute,Asia + Oceania,0.3242,0.0851,0.0941,0.0743,0
22,Australia,AUS,2011,2011 (Income),Gini,Relative,Asia + Oceania,0.3242,26.2492288710672,29.0252930289945,22.9179518815546,0
